/89-90  cheeks,maurice    =   PG 81 2519  307  609   4  16 171  202  50  240  453 124 131  10  78   789
/89-90  chievous,derrick  =   SF 55  591  105  220   3   9  80  111  35   90   31  26  45   5  70   293
/89-90  coleman,ben       mil PF 22  305   46   97   0   1  34   41  31   87   12   7  26   7  54   126
/89-90  colter,steve      was PG 73  977  142  297   0   5  77   95  55  176  148  47  38  10  98   361
/89-90  conner,lester     njn PG 82 2355  237  573   2  13 172  214  90  265  385 172 138   8 182   648
/89-90  cooper,michael    lal PG 80 1851  191  493  50 157  83   94  59  227  215  67  91  36 206   515
/89-90  cooper,wayne      por  C 79 1176  138  304   0   3  25   39 118  339   44  18  39  95 211   301
/89-90  copeland,lanard   phi SF 23  110   31   68   1   5  11   14   4   10    9   1  19   1  12    74
/89-90  corbin,tyrone     min PF 82 3011  521 1083   0  11 161  209 219  604  216 175 141  41 288  1203
/89-90  corzine,dave      orl  C  6   79   11   29   0   0   0    2   7   18    2   2   8   0   7    22
/89-90  cummings,pat      mia  C 37  391   77  159   0   0  21   37  28   93   13  12  32   4  60   175
/89-90  cummings,terry    san SF 81 2821  728 1532  19  59 343  440 226  677  219 110 202  52 286  1818
/89-90  curry,dell        cha SG 67 1860  461  990  52 147  96  104  31  168  159  98 100  26 148  1070
/89-90  dailey,quinten    sea PG 30  491   97  240   1   5  52   66  18   51   34  12  34   0  63   247
/89-90  dantley,adrian    dal SF 45 1300  231  484   0   2 200  254  78  172   80  20  75   7  99   662
/89-90  daugherty,brad    cle  C 41 1438  244  509   0   2 202  287  77  373  130  29 110  22 108   690
/89-90  davis,brad        dal PG 73 1292  179  365  35 104  77  100  12   93  242  47  86   9 151   470
/89-90  davis,charles     chi SF 53  429   58  158   7  25   7    8  25   81   18  10  20   8  52   130
/89-90  davis,terry       mia PF 63  884  122  262   0   1  54   87  93  229   25  25  68  28 171   298
/89-90  davis,walter      den SG 69 1635  497 1033   6  46 207  227  46  179  155  59 102   9 160  1207
/89-90  dawkins,johnny    phi PG 81 2865  465  950  22  66 210  244  48  247  601 121 214   9 159  1162
/89-90  delnegro,vinnie   sac SG 76 1858  297  643  10  32 135  155  39  198  250  64 111  10 182   739
/89-90  dinkins,byron     hou PG 33  362   44  109   1   9  26   30  13   40   75  19  37   2  30   115
/89-90  divac,vlade       lal  C 82 1611  274  549   0   5 153  216 167  512   75  79 110 114 240   701
/89-90  donaldson,james   dal  C 73 2265  258  479   0   0 149  213 155  630   57  22 119  47 129   665
/89-90  douglas,sherman   mia PG 81 2470  463  938   5  31 224  326  70  206  619 145 246  10 187  1155
/89-90  dozier,terry      cha ??  9   92    9   27   0   1   4    8   7   15    3   6   7   2  10    22
/89-90  dreiling,greg     ind  C 49  307   20   53   0   0  25   34  21   87    8   4  19  14  69    65
/89-90  drew,larry        lal PG 80 1333  170  383  32  81  46   60  12   98  217  47  95   4  92   418
/89-90  drexler,clyde     por SG 73 2683  670 1357  30 106 333  430 208  507  432 145 191  51 222  1703
